指标名称,Mysteel冶金焦国产价格指数：湿熄：现货价格指数：中国（日）
指标编码,ID00187989
2023-04-14 00:00:00,2551.8
2023-04-13 00:00:00,2551.8
2023-04-12 00:00:00,2553.3
2023-04-11 00:00:00,2559.3
2023-04-10 00:00:00,2598.3
2023-04-07 00:00:00,2607.9
2023-04-06 00:00:00,2607.9
2023-04-04 00:00:00,2608.2
2023-04-03 00:00:00,2608.2
2023-03-31 00:00:00,2688.3
2023-03-30 00:00:00,2688.3
2023-03-29 00:00:00,2688.3
2023-03-28 00:00:00,2688.3
2023-03-27 00:00:00,2688.3
2023-03-24 00:00:00,2688.3
2023-03-23 00:00:00,2688.3
2023-03-22 00:00:00,2688.3
2023-03-21 00:00:00,2688.3
2023-03-20 00:00:00,2688.3
2023-03-17 00:00:00,2688.3
2023-03-16 00:00:00,2688.3
2023-03-15 00:00:00,2688.3
2023-03-14 00:00:00,2688.3
2023-03-13 00:00:00,2688.3
2023-03-10 00:00:00,2688.3
2023-03-09 00:00:00,2688.3
2023-03-08 00:00:00,2688.3
2023-03-07 00:00:00,2688.3
2023-03-06 00:00:00,2688.3
2023-03-03 00:00:00,2688.3
2023-03-02 00:00:00,2688.3
2023-03-01 00:00:00,2688.3
2023-02-28 00:00:00,2690.8
2023-02-27 00:00:00,2690.8
2023-02-24 00:00:00,2690.8
2023-02-23 00:00:00,2690.8
2023-02-22 00:00:00,2689.0
2023-02-21 00:00:00,2689.0
2023-02-20 00:00:00,2689.0
2023-02-17 00:00:00,2689.0
2023-02-16 00:00:00,2689.0
2023-02-15 00:00:00,2689.0
2023-02-14 00:00:00,2689.0
2023-02-13 00:00:00,2689.0
2023-02-10 00:00:00,2689.0
2023-02-09 00:00:00,2689.0
2023-02-08 00:00:00,2689.0
2023-02-07 00:00:00,2689.0
2023-02-06 00:00:00,2691.4
2023-02-03 00:00:00,2691.4
2023-02-02 00:00:00,2692.5
2023-02-01 00:00:00,2692.5
2023-01-31 00:00:00,2692.5
2023-01-30 00:00:00,2692.5
2023-01-29 00:00:00,2692.5
2023-01-28 00:00:00,2692.5
2023-01-20 00:00:00,2692.5
2023-01-19 00:00:00,2692.5
2023-01-18 00:00:00,2692.5
2023-01-17 00:00:00,2692.5
2023-01-16 00:00:00,2692.5
2023-01-13 00:00:00,2692.5
2023-01-12 00:00:00,2708.3
2023-01-11 00:00:00,2708.3
2023-01-10 00:00:00,2779.3
2023-01-09 00:00:00,2810.1
2023-01-06 00:00:00,2810.3
2023-01-05 00:00:00,2810.3
2023-01-04 00:00:00,2811.2
2023-01-03 00:00:00,2816.5
2022-12-30 00:00:00,2877.3
